Baisley Park,Queens,29.36045578
Flushing Meadows-Corona Park,Queens,27.30484573
South Jamaica,Queens,26.29491624
Randalls Island,Manhattan,24.15098994
Astoria Park,Queens,21.70641711
Briarwood/Jamaica Hills,Queens,19.94506463
Springfield Gardens South,Queens,19.46830929
Jamaica,Queens,19.28394300
Corona,Queens,18.22876925
LaGuardia Airport,Queens,18.18133881
Jamaica Bay,Queens,17.10052945
Maspeth,Queens,17.00545064
Eltingville/Annadale/Prince's Bay,Staten Island,16.83776476
JFK Airport,Queens,16.77772535
Battery Park,Manhattan,12.84978031
Morningside Heights,Manhattan,12.45369803
Battery Park City,Manhattan,12.44884840
Greenwich Village North,Manhattan,12.44694989
Rikers Island,Bronx,12.30630000
World Trade Center,Manhattan,12.29541192
